Unnamed: 0,item_id,name,category,price,link,short_description,designer,depth,height,width
3236,99246098,MÖRBYLÅNGA / ODGER,Tables & desks,3475.0,https://www.ikea.com/sa/en/p/moerbylanga-odger-table-and-4-chairs-brown-white-beige-s99246098/,"        Table and 4 chairs,          140x85 cm",J Löfgren/J Pettersson/S Lanneskog/J Marnell,,74.0,85.0
3237,99304781,LANEBERG / KARLJAN,Tables & desks,1195.0,https://www.ikea.com/sa/en/p/laneberg-karljan-table-and-4-chairs-white-dark-grey-dark-grey-s99304781/,"        Table and 4 chairs,          130/190x80 cm",K Hagberg/M Hagberg/Francis Cayouette,,,80.0
3238,99304795,LANEBERG / SVENBERTIL,Tables & desks,1475.0,https://www.ikea.com/sa/en/p/laneberg-svenbertil-table-and-4-chairs-brown-black-black-s99304795/,"        Table and 4 chairs,          130/190x80 cm",K Hagberg/M Hagberg/Mia Lagerman,,,80.0
3239,99305177,NORDVIKEN / LEIFARNE,Tables & desks,2275.0,https://www.ikea.com/sa/en/p/nordviken-leifarne-table-and-4-chairs-black-broringe-black-s99305177/,"        Table and 4 chairs,          152/223x95 cm",Mia Lagerman/Francis Cayouette,,,95.0
3240,471222,VESKEN,Trolleys,39.0,https://www.ikea.com/sa/en/p/vesken-trolley-white-00471222/,"        Trolley,          54x18x71 cm",David Wahl,18.0,71.0,54.0
3241,90443135,RÅSKOG,Trolleys,189.0,https://www.ikea.com/sa/en/p/raskog-trolley-grey-green-90443135/,"        Trolley,          35x45x78 cm",Nike Karlsson,,78.0,45.0
3242,70243873,HORNAVAN,Trolleys,195.0,https://www.ikea.com/sa/en/p/hornavan-trolley-white-70243873/,"        Trolley,          26x48x77 cm",IKEA of Sweden,,77.0,48.0
3243,20399777,NISSAFORS,Trolleys,99.0,https://www.ikea.com/sa/en/p/nissafors-trolley-black-20399777/,"        Trolley,          50.5x30x83 cm",Ebba Strandmark,,83.0,30.0
3244,20463056,RÅSHULT,Trolleys,125.0,https://www.ikea.com/sa/en/p/rashult-trolley-white-20463056/,"        Trolley,          38x28 cm",IKEA of Sweden,,65.0,28.0
3245,40463055,RÅSHULT,Trolleys,125.0,https://www.ikea.com/sa/en/p/rashult-trolley-black-40463055/,"        Trolley,          38x28 cm",IKEA of Sweden,,65.0,28.0
3246,70303720,SUNNERSTA,Trolleys,125.0,https://www.ikea.com/sa/en/p/sunnersta-trolley-70303720/,"        Trolley,          56x33 cm",Henrik Preutz,,97.0,33.0
3247,60171433,GRUNDTAL,Trolleys,195.0,https://www.ikea.com/sa/en/p/grundtal-trolley-stainless-steel-60171433/,"        Trolley,          48x24x77 cm",K Hagberg/M Hagberg,24.0,77.0,48.0
3248,20281631,RISATORP,Trolleys,245.0,https://www.ikea.com/sa/en/p/risatorp-trolley-white-20281631/,"        Trolley,          57x39x86 cm",Wiebke Braasch,,86.0,39.0
